x_0:	0.01401
x_1:	0.02802
x_2:	0.05604
x_3:	0.11208
x_4:	0.22416
x_5:	0.44832
x_6:	0.89664
x_7:	0.20672
x_8:	0.41344
x_9:	0.82688
x_10:	0.34624
x_11:	0.69248
x_12:	0.61504
x_13:	0.76992
x_14:	0.46016
x_15:	0.92032
x_16:	0.15936
x_17:	0.31872
x_18:	0.63744
x_19:	0.72512
x_20:	0.54976
x_21:	0.90048
x_22:	0.19904
x_23:	0.39808
x_24:	0.79616
x_25:	0.40768
x_26:	0.81536
x_27:	0.36928
x_28:	0.73856
x_29:	0.52288
x_30:	0.95424
x_31:	0.09152
x_32:	0.18304
x_33:	0.36608
x_34:	0.73216
x_35:	0.53568
x_36:	0.92864
x_37:	0.14272
x_38:	0.28544
x_39:	0.57088
x_40:	0.85824
x_41:	0.28352
x_42:	0.567039
x_43:	0.865921
x_44:	0.268158
x_45:	0.536316
x_46:	0.927368
x_47:	0.145264
x_48:	0.290527
x_49:	0.581055
x_50:	0.837891
x_51:	0.324219
x_52:	0.648438
x_53:	0.703125
x_54:	0.59375
x_55:	0.8125
x_56:	0.375
x_57:	0.75
x_58:	0.5
x_59:	1
x_60:	0
x_61:	0
x_62:	0
x_63:	0
x_64:	0
x_65:	0
x_66:	0
x_67:	0
x_68:	0
x_69:	0
x_70:	0
x_71:	0
x_72:	0
x_73:	0
x_74:	0
x_75:	0
x_76:	0
x_77:	0
x_78:	0
x_79:	0
x_80:	0
x_81:	0
x_82:	0
x_83:	0
x_84:	0
x_85:	0
x_86:	0
x_87:	0
x_88:	0
x_89:	0
x_90:	0
x_91:	0
x_92:	0
x_93:	0
x_94:	0
x_95:	0
x_96:	0
x_97:	0
x_98:	0
x_99:	0
x_100:	0
